Time,Altitude,Position East of launch,Position North of launch
17.500000000,2840.191000000,-9.019000000,-13.183000000
17.550000000,2843.031000000,-8.979000000,-13.080000000
17.600000000,2845.845000000,-8.939000000,-12.978000000
17.650000000,2848.631000000,-8.899000000,-12.875000000
17.700000000,2851.392000000,-8.859000000,-12.772000000
17.750000000,2854.126000000,-8.819000000,-12.669000000
17.800000000,2856.833000000,-8.779000000,-12.565000000
17.850000000,2859.514000000,-8.738000000,-12.462000000
17.900000000,2862.169000000,-8.698000000,-12.358000000
17.950000000,2864.797000000,-8.658000000,-12.255000000
18.000000000,2867.399000000,-8.617000000,-12.150000000
18.050000000,2869.975000000,-8.576000000,-12.045000000
18.100000000,2872.525000000,-8.535000000,-11.939000000
18.150000000,2875.049000000,-8.493000000,-11.832000000
18.200000000,2877.546000000,-8.451000000,-11.724000000
18.250000000,2880.018000000,-8.409000000,-11.616000000
18.300000000,2882.464000000,-8.366000000,-11.508000000
18.350000000,2884.883000000,-8.324000000,-11.399000000
18.400000000,2887.277000000,-8.281000000,-11.290000000
18.450000000,2889.645000000,-8.239000000,-11.181000000
18.500000000,2891.987000000,-8.196000000,-11.071000000
18.550000000,2894.303000000,-8.153000000,-10.961000000
18.600000000,2896.593000000,-8.110000000,-10.851000000
18.650000000,2898.857000000,-8.067000000,-10.740000000
18.700000000,2901.095000000,-8.024000000,-10.630000000
18.750000000,2903.308000000,-7.981000000,-10.520000000
18.800000000,2905.495000000,-7.938000000,-10.410000000
18.850000000,2907.655000000,-7.895000000,-10.301000000
18.900000000,2909.791000000,-7.852000000,-10.191000000
18.950000000,2911.900000000,-7.810000000,-10.082000000
19.000000000,2913.984000000,-7.767000000,-9.973000000
19.050000000,2916.042000000,-7.724000000,-9.863000000
19.100000000,2918.075000000,-7.681000000,-9.753000000
19.150000000,2920.082000000,-7.638000000,-9.641000000
19.200000000,2922.064000000,-7.594000000,-9.529000000
19.250000000,2924.021000000,-7.550000000,-9.416000000
19.300000000,2925.952000000,-7.505000000,-9.303000000
19.350000000,2927.858000000,-7.461000000,-9.188000000
19.400000000,2929.739000000,-7.416000000,-9.074000000
19.450000000,2931.594000000,-7.371000000,-8.958000000
19.500000000,2933.424000000,-7.325000000,-8.843000000
19.550000000,2935.228000000,-7.280000000,-8.728000000
19.600000000,2937.008000000,-7.235000000,-8.612000000
19.650000000,2938.762000000,-7.189000000,-8.496000000
