Time,Altitude,Position East of launch,Position North of launch
16.100000000,2749.888000000,-9.255000000,-14.737000000
16.150000000,2753.489000000,-9.218000000,-14.642000000
16.200000000,2757.063000000,-9.179000000,-14.546000000
16.250000000,2760.608000000,-9.140000000,-14.448000000
16.300000000,2764.127000000,-9.101000000,-14.349000000
16.350000000,2767.617000000,-9.061000000,-14.250000000
16.400000000,2771.080000000,-9.022000000,-14.150000000
16.450000000,2774.515000000,-8.982000000,-14.052000000
16.500000000,2777.922000000,-8.943000000,-13.954000000
16.550000000,2781.301000000,-8.905000000,-13.857000000
16.600000000,2784.653000000,-8.866000000,-13.760000000
16.650000000,2787.977000000,-8.828000000,-13.663000000
16.700000000,2791.274000000,-8.789000000,-13.565000000
16.750000000,2794.544000000,-8.750000000,-13.467000000
16.800000000,2797.786000000,-8.711000000,-13.368000000
16.850000000,2801.002000000,-8.670000000,-13.267000000
16.900000000,2804.190000000,-8.629000000,-13.164000000
16.950000000,2807.351000000,-8.588000000,-13.060000000
17.000000000,2810.486000000,-8.546000000,-12.955000000
17.050000000,2813.593000000,-8.504000000,-12.850000000
17.100000000,2816.673000000,-8.462000000,-12.745000000
17.150000000,2819.727000000,-8.421000000,-12.640000000
17.200000000,2822.753000000,-8.379000000,-12.536000000
17.250000000,2825.752000000,-8.337000000,-12.431000000
17.300000000,2828.724000000,-8.296000000,-12.327000000
17.350000000,2831.670000000,-8.254000000,-12.223000000
17.400000000,2834.588000000,-8.213000000,-12.118000000
17.450000000,2837.480000000,-8.171000000,-12.013000000
17.500000000,2840.346000000,-8.129000000,-11.908000000
17.550000000,2843.184000000,-8.087000000,-11.803000000
17.600000000,2845.996000000,-8.045000000,-11.698000000
17.650000000,2848.782000000,-8.003000000,-11.592000000
17.700000000,2851.541000000,-7.961000000,-11.486000000
17.750000000,2854.273000000,-7.919000000,-11.380000000
17.800000000,2856.979000000,-7.877000000,-11.273000000
17.850000000,2859.659000000,-7.834000000,-11.167000000
17.900000000,2862.313000000,-7.792000000,-11.060000000
17.950000000,2864.940000000,-7.749000000,-10.953000000
18.000000000,2867.540000000,-7.706000000,-10.846000000
18.050000000,2870.115000000,-7.663000000,-10.737000000
18.100000000,2872.664000000,-7.620000000,-10.628000000
18.150000000,2875.186000000,-7.576000000,-10.517000000
18.200000000,2877.683000000,-7.531000000,-10.407000000
18.250000000,2880.153000000,-7.487000000,-10.296000000
18.300000000,2882.598000000,-7.443000000,-10.185000000
18.350000000,2885.016000000,-7.398000000,-10.073000000
18.400000000,2887.408000000,-7.354000000,-9.961000000
18.450000000,2889.775000000,-7.309000000,-9.849000000
18.500000000,2892.115000000,-7.264000000,-9.736000000
18.550000000,2894.430000000,-7.219000000,-9.623000000
18.600000000,2896.719000000,-7.174000000,-9.510000000
18.650000000,2898.982000000,-7.129000000,-9.397000000
18.700000000,2901.219000000,-7.083000000,-9.283000000
18.750000000,2903.430000000,-7.038000000,-9.170000000
18.800000000,2905.616000000,-6.993000000,-9.057000000
18.850000000,2907.775000000,-6.948000000,-8.945000000
18.900000000,2909.909000000,-6.904000000,-8.832000000
18.950000000,2912.017000000,-6.859000000,-8.720000000
19.000000000,2914.100000000,-6.814000000,-8.607000000
19.050000000,2916.157000000,-6.769000000,-8.494000000
19.100000000,2918.188000000,-6.724000000,-8.381000000
19.150000000,2920.194000000,-6.679000000,-8.267000000
19.200000000,2922.175000000,-6.633000000,-8.152000000
19.250000000,2924.130000000,-6.586000000,-8.036000000
19.300000000,2926.060000000,-6.540000000,-7.920000000
19.350000000,2927.965000000,-6.493000000,-7.802000000
19.400000000,2929.844000000,-6.446000000,-7.685000000
19.450000000,2931.698000000,-6.399000000,-7.567000000
19.500000000,2933.527000000,-6.352000000,-7.449000000
